drug,n,median_tto,shape,shape_lcl,shape_ucl,scale,pattern
scopolamine,3130,89,0.487925556254414,0.481386051883182,0.494465060625646,238.860753609025,早期衰减型
dimenhydrinate,2469,122,0.581189877326516,0.570816666116556,0.591563088536475,269.513876221533,早期衰减型
meclizine,7245,304,0.643823102002083,0.63612435670287,0.651521847301295,511.420830904587,早期衰减型
cinnarizine,508,69,0.495322998019768,0.478849336368009,0.511796659671526,174.337057526796,早期衰减型
promethazine,19446,222,0.582901714474849,0.579078155877763,0.586725273071935,422.198616366773,早期衰减型
