pt,a,b,c,d,ROR,se_ln_ror,ROR_lcl,ROR_ucl,PRR,se_ln_prr,PRR_lcl,PRR_ucl,chisq,n,IC,IC025,sig_ROR,sig_PRR,sig_BCPNN,signal,sens_trio,drug
APPLICATION SITE RASH,69,7814,11813,17664844,13.2046011093746,0.121265981062298,10.4112194180267,16.7474609319823,13.0977740794943,0.120210208779191,10.3483831380946,16.5776318433702,767.052493598579,17684540,3.70349068157181,3.70270595732671,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
CARDIAC ARREST,69,7814,59051,17617606,2.63448251472829,0.120986446875427,2.07830641341573,3.33949704221058,2.62017586833526,0.119928213142232,2.07131183461533,3.31447996688602,69.2771624632518,17684540,1.38862210573746,1.38783738149236,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
APPLICATION SITE IRRITATION,68,7815,9912,17666745,15.5086922305928,0.12220796137044,12.2053337830142,19.7061005441713,15.3835379655058,0.121160465234169,12.1317194229222,19.5069826531774,908.782680645165,17684540,3.93409503901852,3.93331031477342,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DELIRIUM,68,7815,27308,17649349,5.62365574347687,0.121944730804803,4.42809853901531,7.14200545504867,5.58377136055711,0.12089495369413,4.40574913629675,7.07677664851905,255.634755022127,17684540,2.47829509475373,2.47751037050863,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
MENTAL IMPAIRMENT,64,7819,19262,17657395,7.50332943632576,0.125717404980168,5.86463785337626,9.59990267730187,7.45053061811888,0.12469965460653,5.83499804525444,9.51335477081659,356.630038329915,17684540,2.89320085188883,2.89241612764373,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SPEECH DISORDER,63,7820,40623,17636034,3.49754032982336,0.126592126174844,2.72901132402334,4.48249820404054,3.47758028405666,0.1255815298505,2.71881719991225,4.4480977361957,111.287443914919,17684540,1.79649139155937,1.79570666731428,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HYPOKALAEMIA,62,7821,36069,17640588,3.87711210675213,0.12761141983286,3.01914050911181,4.9788998699985,3.85448354521228,0.126609024429611,3.00742232082167,4.94012540156086,131.106103122433,17684540,1.94470304394429,1.94391831969919,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
INTESTINAL OBSTRUCTION,62,7821,31632,17645025,4.42206405985675,0.127626656206727,3.44339644445074,5.67888445752167,4.39514943703407,0.126624381475386,3.42916826854305,5.63324312518158,162.579006784528,17684540,2.13373047961837,2.13294575537328,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PNEUMONIA ASPIRATION,61,7822,20062,17656595,6.86348600978491,0.128729131431333,5.33295972604878,8.83326382091682,6.8181133538675,0.127735571678498,5.3080316479559,8.75779814238452,302.277577097,17684540,2.76563585332381,2.76485112907872,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
AMNESIA,59,7824,47743,17628914,2.78444743684949,0.130759193203475,2.15493686930146,3.59785367220105,2.7710918109743,0.129781301393375,2.14871512538462,3.57374029443494,66.8840231522958,17684540,1.46931598705273,1.46853126280764,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
LETHARGY,58,7825,43837,17632820,2.9814298554892,0.131878896454022,2.30232703469084,3.86084333340418,2.96685127733134,0.130909431518187,2.29542664609379,3.83467122191931,75.7147235141473,17684540,1.56766829923229,1.56688357498719,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PLEURAL EFFUSION,58,7825,46650,17630007,2.80120236277904,0.131873681173312,2.16317343243477,3.62741819938447,2.78794982731777,0.130904177579005,2.15703438573138,3.60340302920378,66.5982224347767,17684540,1.47805524218268,1.47727051793758,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
INCORRECT DRUG ADMINISTRATION DURATION,57,7826,21398,17655259,6.0094665467516,0.133110588709468,4.62945536670232,7.80085027631476,5.9732443479485,0.132150221939859,4.61022096098265,7.73924901696984,235.676371666964,17684540,2.5753200315218,2.5745353072767,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HYPONATRAEMIA,55,7828,43196,17633461,2.86817668811288,0.135398566221062,2.19964357919036,3.73989567767253,2.85514234613062,0.134454663896715,2.19370206913749,3.71601865693336,66.3743428502832,17684540,1.5123701424935,1.51158541824841,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
APPLICATION SITE PAIN,54,7829,19935,17656722,6.10915727743728,0.136735029958551,4.67293885933945,7.98679455560874,6.07415861030781,0.135800477607526,4.65468641454274,7.92650665099659,228.534644218218,17684540,2.59942512116698,2.59864039692188,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
URINARY RETENTION,54,7829,26636,17650021,4.57049972329592,0.136688875129149,3.49632477434054,5.97469316178962,4.54604114343318,0.135754004962049,3.48399256913332,5.93184103229251,149.287799041682,17684540,2.18233211512694,2.18154739088184,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
COLITIS,53,7830,32652,17644005,3.65764449485413,0.137935931217862,2.79118136463766,4.79308274991778,3.63977627739539,0.137009629930576,2.78259332292608,4.76101600630562,101.492737290131,17684540,1.86215315857458,1.86136843432948,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SEPTIC SHOCK,53,7830,34992,17641665,3.41259627816407,0.137928507183207,2.60422076363741,4.47189943354616,3.39637560040907,0.137002155672987,2.59655258936629,4.4425702241869,89.6549186602643,17684540,1.76245574873546,1.76167102449037,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
UPPER RESPIRATORY TRACT INFECTION,53,7830,39174,17637483,3.04756373323694,0.137917447344042,2.32570751121265,3.99347065929988,3.0337972892611,0.136991020996683,2.31940958602659,3.96821934675855,72.3239044421648,17684540,1.59981736771186,1.59903264346676,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ANTIPSYCHOTIC DRUG LEVEL INCREASED,52,7831,2133,17674524,55.0228384754522,0.140809611444202,41.7525908483645,72.5107757957083,54.6664782571693,0.139902396886077,41.5560033049471,71.9131679510144,2674.73965648622,17684540,5.73847845174593,5.73769372750084,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
NEUROLEPTIC MALIGNANT SYNDROME,52,7831,8457,17668200,13.8727351736799,0.139559194187679,10.5527806611961,18.2371630168271,13.7878205182148,0.138643797702837,10.5070219188845,18.093042549081,613.264191028539,17684540,3.77712213890396,3.77633741465886,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DISTURBANCE IN ATTENTION,51,7832,42082,17634575,2.72876491646083,0.14056793475264,2.07163042703966,3.59434669047024,2.71758046755312,0.139659208205011,2.06681733006093,3.57324447120274,55.4283395221967,17684540,1.44121861650536,1.44043389226027,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DYSKINESIA,51,7832,29322,17647335,3.91907015558779,0.140604712567399,2.97507480680342,5.16259653347053,3.90018488628232,0.139696225407099,2.96601516590072,5.12857868094064,109.97743158284,17684540,1.96167863812656,1.96089391388147,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HYPOXIA,51,7832,27611,17649046,4.16233083556246,0.140612227613978,3.15969419206292,5.4831249265179,4.14187176254284,0.139703789343342,3.14976666379021,5.44646747791357,121.514708146025,17684540,2.04826379135339,2.0474790671083,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DIABETES MELLITUS,50,7833,54373,17622284,2.06881081657826,0.141937004457685,1.56639598363293,2.73237306499261,2.06203160297571,0.141037156987557,1.56401914665049,2.71862038311782,27.4087328992523,17684540,1.04338362267366,1.04259889842857,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
CONTRAINDICATED PRODUCT ADMINISTERED,49,7834,29723,17646934,3.7135487775129,0.143420753806872,2.80354106928761,4.9189379367543,3.69668160890981,0.142530331560629,2.79568205847164,4.88805759447579,96.396166626604,17684540,1.88449762149442,1.88371289724933,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
LEUKOCYTOSIS,49,7834,13446,17663211,8.21654168371213,0.143562669769049,6.20134725755356,10.8865951923506,8.17168432705833,0.142673133405306,6.17825399290655,10.808300341449,307.523693273087,17684540,3.0260287857538,3.0252440615087,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
STOMATITIS,49,7834,52250,17624407,2.10979729629037,0.143370176367098,1.5929479068157,2.79434412913866,2.10289889878711,0.142479437784383,1.59051382237029,2.78034916535953,28.4006485111028,17684540,1.07167040134129,1.07088567709619,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
BLOOD ALKALINE PHOSPHATASE INCREASED,48,7835,15003,17661654,7.21199637545369,0.145009226285108,5.42776647768796,9.5827430920928,7.17417120406948,0.144128674591143,5.40862575481406,9.51604618224672,254.454050183891,17684540,2.8388470752285,2.83806235098341,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
