drug,pt,a,ROR,ROR_lcl,ROR_ucl,signal,subgroup_var,subgroup_level
scopolamine,DIZZINESS,109,8.76826419192234,7.13685348941966,10.7725984642007,TRUE,性别,M
scopolamine,CONFUSIONAL STATE,94,23.7395807515202,19.0760892434859,29.5431462426397,TRUE,性别,M
scopolamine,HYPOTENSION,70,13.2750760079069,10.3583641899582,17.0130765615047,TRUE,性别,M
scopolamine,HEADACHE,62,3.49787288114257,2.69226568932769,4.54454207143573,TRUE,性别,M
scopolamine,HALLUCINATION,61,31.0939414370069,23.8842586701822,40.4799331408613,TRUE,性别,M
scopolamine,TACHYCARDIA,56,24.4081239434835,18.5559205513077,32.1060069638243,TRUE,性别,M
scopolamine,SOMNOLENCE,54,9.91753622310751,7.50582166460246,13.1041648911677,TRUE,性别,M
scopolamine,DRY MOUTH,44,19.667123863182,14.4804200263008,26.7116396034926,TRUE,性别,M
scopolamine,AGITATION,41,22.583189985435,16.458150736806,30.9877141164903,TRUE,性别,M
scopolamine,RASH,39,2.99798705148035,2.16881303224499,4.1441683663899,TRUE,性别,M
scopolamine,VISION BLURRED,30,7.86795491561428,5.45384838993362,11.3506482263788,TRUE,性别,M
scopolamine,DELIRIUM,27,28.069610684438,19.0904847240665,41.2720292524917,TRUE,性别,M
scopolamine,PRURITUS,25,2.14386857527927,1.43736139803915,3.19764568210894,TRUE,性别,M
scopolamine,LETHARGY,22,14.1302571050088,9.23557013979279,21.6190406040413,TRUE,性别,M
scopolamine,MYDRIASIS,22,66.6829058905644,43.5674721579977,102.062610423763,TRUE,性别,M
scopolamine,DISORIENTATION,20,20.1683420299921,12.9198609976497,31.4834672224986,TRUE,性别,M
scopolamine,URINARY RETENTION,20,21.0848110546691,13.506857214476,32.9143375214353,TRUE,性别,M
scopolamine,AMNESIA,18,10.5451364473464,6.59986450209015,16.8488160109858,TRUE,性别,M
scopolamine,VERTIGO,18,10.1377107328978,6.34489071601485,16.1977855102383,TRUE,性别,M
scopolamine,APPLICATION SITE ERYTHEMA,17,22.1800201426056,13.6983450391812,35.9133378608338,TRUE,性别,M
scopolamine,SEDATION,15,20.1238860599614,12.057611544909,33.5863192014422,TRUE,性别,M
scopolamine,ERYTHEMA,14,2.21139146998738,1.30215020563666,3.75552083958083,TRUE,性别,M
scopolamine,BRADYCARDIA,13,9.01137155280997,5.20311434491229,15.6069638066279,TRUE,性别,M
scopolamine,APPLICATION SITE IRRITATION,11,30.6150247872014,16.8630467326289,55.5818742355366,TRUE,性别,M
scopolamine,APPLICATION SITE PRURITUS,11,16.1451816039213,8.89427701543468,29.3072600022747,TRUE,性别,M
scopolamine,DYSURIA,11,10.5624617107631,5.81913516247802,19.1721955713824,TRUE,性别,M
scopolamine,"HALLUCINATION, AUDITORY",11,25.6443560281255,14.1258957077199,46.5551360214175,TRUE,性别,M
scopolamine,APPLICATION SITE PAIN,9,12.4518264743617,6.448211859415,24.0451129596851,TRUE,性别,M
scopolamine,SINUS TACHYCARDIA,9,24.985303368944,12.9368065106961,48.2549834784979,TRUE,性别,M
scopolamine,APPLICATION SITE RASH,8,18.6036908371231,9.26131139493555,37.3702273905311,TRUE,性别,M
scopolamine,"HALLUCINATION, VISUAL",8,13.6747229102167,6.80798479008507,27.4674595254008,TRUE,性别,M
scopolamine,ORTHOSTATIC HYPOTENSION,8,16.5132662978469,8.22086786580487,33.1702161225417,TRUE,性别,M
scopolamine,RASH ERYTHEMATOUS,8,5.70733258293226,2.8416876238409,11.4627818127922,TRUE,性别,M
scopolamine,RASH MACULO-PAPULAR,8,12.587172252622,6.26663069831866,25.2826300039805,TRUE,性别,M
scopolamine,APPLICATION SITE REACTION,7,43.839176128353,20.8030166347516,92.3843593146126,TRUE,性别,M
scopolamine,APPLICATION SITE BURN,5,33.1753379128962,13.7541416909392,80.0197548030127,TRUE,性别,M
scopolamine,GLAUCOMA,5,8.68883565408322,3.60369867292682,20.9495498585491,TRUE,性别,M
scopolamine,APPLICATION SITE SCAR,4,108.851904289962,40.6506487750747,291.477194696488,TRUE,性别,M
scopolamine,RASH MACULAR,4,3.73677190078621,1.39810346453161,9.98743268487887,TRUE,性别,M
scopolamine,RASH PAPULAR,4,6.0635190646435,2.26855595797892,16.2069017155965,TRUE,性别,M
scopolamine,APPLICATION SITE HAEMORRHAGE,3,30.2123438648053,9.71230259988357,93.9824220279319,TRUE,性别,M
scopolamine,APPLICATION SITE SCAB,3,41.6412528701796,13.3831838945631,129.565128467126,TRUE,性别,M
scopolamine,DERMATITIS CONTACT,3,8.58818841776888,2.76205702187155,26.7036414219727,TRUE,性别,M
scopolamine,VENTRICULAR TACHYCARDIA,3,7.1277335462898,2.29242739500507,22.1619169346878,TRUE,性别,M
scopolamine,APPLICATION SITE DISCOMFORT,2,32.126535269408,8.01085401944774,128.839480273998,FALSE,性别,M
scopolamine,APPLICATION SITE EXFOLIATION,2,14.1989511430212,3.5421577410461,56.9173448222443,FALSE,性别,M
scopolamine,APPLICATION SITE HYPERAESTHESIA,2,720.377057194069,176.551352388819,2939.33236709918,FALSE,性别,M
scopolamine,APPLICATION SITE INFLAMMATION,2,46.1206543540575,11.4962681388739,185.026543601027,FALSE,性别,M
scopolamine,APPLICATION SITE URTICARIA,2,31.281984962406,7.80042911863601,125.449839785136,FALSE,性别,M
scopolamine,APPLICATION SITE VESICLES,2,9.82967910394648,2.45244300639491,39.3985063198664,FALSE,性别,M
scopolamine,ATRIAL TACHYCARDIA,2,33.6678090929516,8.39484872211293,135.025824364603,FALSE,性别,M
scopolamine,ERYTHEMA MULTIFORME,2,8.14891290518276,2.03318878646464,32.6604110638051,FALSE,性别,M
scopolamine,"HALLUCINATIONS, MIXED",2,16.8168400127453,4.19495490946142,67.4157682544868,FALSE,性别,M
scopolamine,PRURITUS GENERALISED,2,3.56802734619934,0.890341224182933,14.2988090379723,FALSE,性别,M
scopolamine,SINUS BRADYCARDIA,2,7.71018827960957,1.92374643607682,30.9016833987029,FALSE,性别,M
scopolamine,APPLICATION SITE DERMATITIS,1,74.0692837067474,10.3899062719857,528.03737061837,FALSE,性别,M
scopolamine,APPLICATION SITE EROSION,1,25.3529405017592,3.56253505951137,180.425337954121,FALSE,性别,M
scopolamine,APPLICATION SITE HYPERSENSITIVITY,1,25.6865521609278,3.60937025737739,182.801684190605,FALSE,性别,M
scopolamine,APPLICATION SITE ULCER,1,49.2455463191167,6.9139504155366,350.758059649759,FALSE,性别,M
scopolamine,BUTTERFLY RASH,1,30.8125874515804,4.32886529826064,219.322034770352,FALSE,性别,M
scopolamine,CATHETER SITE ERYTHEMA,1,14.3762219022446,2.02090691538471,102.26881535671,FALSE,性别,M
scopolamine,DRY EYE,1,0.623546137647214,0.0876968701841284,4.43356513132581,FALSE,性别,M
scopolamine,EAR PRURITUS,1,8.73634954956379,1.22834194108536,62.1356325134711,FALSE,性别,M
scopolamine,INFUSION SITE RASH,1,22.2197031954864,3.1226103461702,158.109772069716,FALSE,性别,M
scopolamine,POSTURAL ORTHOSTATIC TACHYCARDIA SYNDROME,1,22.1297386254842,3.10997733967303,157.469099657084,FALSE,性别,M
scopolamine,PROCEDURAL HYPOTENSION,1,51.9606901698979,7.29444079912661,370.133009134216,FALSE,性别,M
scopolamine,PRURITUS ALLERGIC,1,25.7834883788749,3.62297876537917,183.492180339623,FALSE,性别,M
scopolamine,RASH GENERALISED,1,1.57515679965976,0.221525888178692,11.2001308917584,FALSE,性别,M
scopolamine,RASH MORBILLIFORM,1,12.6113459657972,1.77292529526762,89.7082620985573,FALSE,性别,M
scopolamine,RASH VESICULAR,1,6.87619371354298,0.966866072297217,48.9023674952505,FALSE,性别,M
scopolamine,SEDATION COMPLICATION,1,11.064096515215,1.55549644071686,78.6978539414583,FALSE,性别,M
scopolamine,SUPRAVENTRICULAR TACHYCARDIA,1,3.9920452892774,0.561382085649448,28.3878413633479,FALSE,性别,M
scopolamine,SYSTEMIC LUPUS ERYTHEMATOSUS,1,0.864107664348095,0.121528913389744,6.14406921578,FALSE,性别,M
scopolamine,TACHYCARDIA FOETAL,1,71.9251281216953,10.0899135958205,512.712423767944,FALSE,性别,M
scopolamine,TRANSIENT GLOBAL AMNESIA,1,45.2503352201194,6.35394150610435,322.25553785253,FALSE,性别,M
scopolamine,HEADACHE,1,33.0577832300756,2.06761771052873,528.53921037812,FALSE,性别,NS
scopolamine,MYDRIASIS,1,1893.23071979434,118.404553321753,30271.8304137593,FALSE,性别,NS
scopolamine,PRURITUS,1,53.4231731523796,3.34137985285444,854.148751519831,FALSE,性别,NS
scopolamine,RASH ERYTHEMATOUS,1,456.520451193957,28.552855531548,7299.12712681437,FALSE,性别,NS
scopolamine,VISION BLURRED,1,162.042225213431,10.1349712205685,2590.79993230089,FALSE,性别,NS
