pt,a,b,c,d,ROR,se_ln_ror,ROR_lcl,ROR_ucl,PRR,se_ln_prr,PRR_lcl,PRR_ucl,chisq,n,IC,IC025,sig_ROR,sig_PRR,sig_BCPNN,signal,sens_trio,drug
DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,204,7679,52895,17623762,8.85134966713892,0.0710714302249465,7.70038208388827,10.1743511005625,8.64816872941263,0.0692383877120251,7.55070058017859,9.9051500689518,1378.65364353368,17684540,3.10748456903939,3.10669984479429,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRY MOUTH,203,7680,65101,17611556,7.15063954310738,0.0712161093837926,6.21905661044814,8.22176884345267,6.99225062680003,0.0693870109717788,6.10314334551651,8.01088325475792,1043.07025652882,17684540,2.80190847320714,2.80112374896205,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRUG INTOLERANCE,201,7682,89875,17586782,5.11999139943491,0.0715295899429702,4.4502254729086,5.89055815033887,5.01494024235177,0.069708960061454,4.37449875884942,5.74914453535564,647.941809361688,17684540,2.32365284646139,2.32286812221629,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SWELLING FACE,201,7682,50893,17625764,9.06174117146186,0.0715891375463606,7.87542045407368,10.4267643280038,8.85618364571483,0.0697700624611156,7.72426451345451,10.153975000469,1399.32122476858,17684540,3.14164172508316,3.14085700083807,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DYSPHONIA,199,7684,49009,17627648,9.31502980430806,0.0719425279269347,8.0899443235568,10.7256337973162,9.10512355908958,0.0701328611545472,7.93574212948552,10.4468206846412,1433.95910924996,17684540,3.18147565793284,3.18069093368774,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,193,7690,199122,17477535,2.20288539706215,0.0729140962026857,1.90952862155729,2.54130994309587,2.1734350759112,0.0711298626957147,1.89060024644262,2.49858215034591,123.546536053106,17684540,1.11922257256738,1.11843784832228,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
CONSTIPATION,190,7693,184162,17492495,2.34590058852002,0.0734753929217784,2.03126266940471,2.70927519818566,2.31346102086572,0.0717054814268046,2.01013510668948,2.6625582913576,143.030617920981,17684540,1.20920836384452,1.20842363959942,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
MYDRIASIS,186,7697,9151,17667506,46.6549952753058,0.0749373011925343,40.2819263657459,54.0363577544736,45.5777620999656,0.0732032098384993,39.4858205103668,52.6095791144993,7952.19507535045,17684540,5.48187174135179,5.48108701710669,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SOMNOLENCE,185,7698,160496,17516161,2.62282030359691,0.0744419038684051,2.26674313502814,3.03483276894309,2.58473559521616,0.0726961089766781,2.24148556539682,2.98054923944814,181.189461878323,17684540,1.36899793891963,1.36821321467453,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ABDOMINAL PAIN,181,7702,185751,17490906,2.21287155314978,0.0752338953414388,1.90948311030858,2.56446390350537,2.18502304989973,0.0735073710563627,1.89184384028227,2.52363626792833,117.447407021068,17684540,1.12688662263926,1.12610189839416,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ANGIOEDEMA,179,7704,35805,17640852,11.4475522701932,0.0757916923248103,9.86727982011276,13.2809097712715,11.2103187478839,0.0740784004216131,9.695297809802,12.9620821241924,1659.71110733919,17684540,3.48020412947924,3.47941940523414,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
TOXICITY TO VARIOUS AGENTS,178,7705,156879,17519778,2.57994914666974,0.075856409084795,2.2235191118903,2.99351490338362,2.5442735221477,0.0741447235992942,2.20014110734848,2.94223299309347,168.145938744444,17684540,1.34626100946164,1.34547628521654,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ANXIETY,174,7709,225318,17451339,1.74817163757283,0.0766898977808331,1.50419558996805,2.03171987392874,1.73165738348965,0.0749976851554543,1.49493617276763,2.00586309196248,54.4428380274713,17684540,0.791683068917677,0.79089834467258,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
SWOLLEN TONGUE,174,7709,23093,17653564,17.2545343495016,0.0769428668484611,14.8391202072076,20.0631136793084,16.8957510212238,0.0752563470566422,14.5786733480697,19.5810960130321,2586.10158412019,17684540,4.06840220974297,4.06761748549788,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ASTHENIA,172,7711,304871,17371786,1.2710016057309,0.0771166388958223,1.09270540421954,1.47839031044635,1.26508859340238,0.0754342212412524,1.09121426458423,1.46666809727475,9.71630647531899,17684540,0.339067953568965,0.338283229323868,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
HALLUCINATION,162,7721,58803,17617854,6.28629829784951,0.0794947740659846,5.3793235625415,7.34619247756781,6.1776619507416,0.0778648419462273,5.30327622134248,7.19621335657673,703.418705924822,17684540,2.62373505684481,2.62295033259972,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
WEIGHT DECREASED,162,7721,228004,17448653,1.60568703942624,0.0794153612792237,1.37423555818089,1.87612003868846,1.59323983653558,0.0777837615714648,1.36795018413984,1.85563276072079,36.2264466911018,17684540,0.671582001009928,0.670797276764831,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
RASH,158,7725,369723,17306934,0.957419498706838,0.0803823753701085,0.817860829741077,1.12079227072686,0.958272945263266,0.0787712309267208,0.821178937457831,1.1182544945275,0.293087700219409,17684540,-0.0614646224574114,-0.062249346702508,FALSE,FALSE,FALSE,FALSE,FALSE,scopolamine
URINARY TRACT INFECTION,154,7729,144946,17531711,2.4099913379924,0.081423863196803,2.05449973721923,2.82699391193869,2.38244615645608,0.0798341642695986,2.03735580835623,2.78598841946605,124.425943993271,17684540,1.25155484484623,1.25077012060114,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ACUTE KIDNEY INJURY,151,7732,150160,17526497,2.27942845358812,0.0822104970149823,1.94020213149726,2.67796534736177,2.25492081734661,0.0806366187875634,1.92527167038665,2.641013198663,106.254880601139,17684540,1.17226997102697,1.17148524678188,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HYPOTENSION,148,7735,159792,17516865,2.09750375876487,0.0830202051454791,1.7825204560652,2.46814672059608,2.07689858861427,0.0814622799975533,1.77040732815429,2.436449329367,83.3181530757517,17684540,1.0537383961775,1.0529536719324,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
FEELING ABNORMAL,146,7737,195774,17480883,1.68495617952113,0.0835687098581683,1.43038678386326,1.9848319062614,1.67227019674679,0.0820214067736767,1.42392927490234,1.96392311066107,39.8702162630275,17684540,0.741375703421478,0.740590979176381,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
DECREASED APPETITE,145,7738,200624,17476033,1.63229724616137,0.0838500194017002,1.38491994712366,1.92386159601477,1.62066676275488,0.0823081061787071,1.37921398167994,1.90438959493372,34.8366305180082,17684540,0.696188388300609,0.695403664055512,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
COUGH,144,7739,242024,17434633,1.34039259820677,0.0841299547374224,1.13663011304925,1.58068336981466,1.33417459311458,0.0825933679913148,1.1347698069031,1.56861932180793,12.2131188749808,17684540,0.415732584620768,0.414947860375671,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
DEHYDRATION,142,7741,101844,17574813,3.16553078504056,0.0847426199482719,2.68109477978953,3.7374975426367,3.12652211175935,0.0832175500117772,2.65598303015625,3.68042280554219,206.287704435991,17684540,1.64319182142094,1.64240709717584,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SEIZURE,142,7741,113114,17563543,2.84830862411187,0.0847368477823353,2.41244590512401,3.36291976576901,2.81501421530508,0.0832116718365956,2.39138437492511,3.31368939073956,167.037208897172,17684540,1.49197546063948,1.49119073639439,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
CONDITION AGGRAVATED,140,7743,262675,17413982,1.19866583412513,0.0852987131350028,1.01412244837038,1.41679122102832,1.19513758133083,0.0837839620616195,1.01414383471061,1.40843319204014,4.52546461902783,17684540,0.257051221583313,0.256266497338217,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
PLATELET COUNT DECREASED,140,7743,87199,17589458,3.64720126062274,0.0853436050633329,3.08541641757569,4.31127447164489,3.60018766472179,0.0838296685806772,3.05469521831584,4.24309146899472,263.794505684024,17684540,1.84640092251265,1.84561619826755,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
WHITE BLOOD CELL COUNT INCREASED,130,7753,28217,17648440,10.4874294659169,0.0886385148372487,8.81492102942693,12.4772730731693,10.3309705250861,0.0871827706084589,8.70822516604237,12.2561084440475,1092.33613271715,17684540,3.36291567052434,3.36213094627924,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
TACHYCARDIA,128,7755,68198,17608459,4.26165098329665,0.0891973600652491,3.57809241789719,5.07579653688955,4.20869001337886,0.0877510760997863,3.54365729992536,4.99852839299332,313.75119427993,17684540,2.07130924866401,2.07052452441891,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
THROMBOCYTOPENIA,127,7756,87892,17588765,3.27681497683863,0.0895230844067037,2.74946586400942,3.90530994873889,3.24013408097938,0.0880822429203515,2.72637671170749,3.85070368949457,197.391586616336,17684540,1.69461362411287,1.69382889986778,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRUG INTERACTION,122,7761,122274,17554383,2.25680272254007,0.0912896818151972,1.88706235568587,2.69898793387413,2.237352014415,0.0898776269995823,1.8759831736076,2.66833098869463,83.9837338970891,17684540,1.16099675075546,1.16021202651037,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HYPERTENSION,122,7761,169192,17507465,1.6266180598864,0.0912772603115708,1.36015629960206,1.94528107800751,1.61692030480507,0.0898650094668691,1.35579483302318,1.9283384243774,28.9730570366927,17684540,0.692851891396789,0.692067167151692,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
PRODUCT USE ISSUE,122,7761,184374,17492283,1.49138223101077,0.0912745945641673,1.2470804212633,1.78354252143699,1.48377743179938,0.089862301549497,1.24416054802597,1.76954290232906,19.4334375436408,17684540,0.568963623113532,0.568178898868435,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
SEPSIS,121,7762,88871,17587786,3.08505447871861,0.0916766311942869,2.57766285772855,3.69232194510056,3.05304996369578,0.0902707219673265,2.5579610185479,3.64396252063068,167.668147593432,17684540,1.60893150592071,1.60814678167561,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HAEMOGLOBIN DECREASED,120,7763,79615,17597042,3.41661805082198,0.0920584965526275,2.85255913804433,4.09221276064609,3.37983076601942,0.0906586010842437,2.82959836444115,4.03705916376139,201.691172232749,17684540,1.75542137399591,1.75463664975081,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ARTHRALGIA,118,7765,356776,17319881,0.737717046620604,0.092769714282545,0.615067307818182,0.884824203720325,0.741643139288214,0.0913808914400086,0.620026138423849,0.887115093972498,10.835216850954,17684540,-0.431036774495982,-0.431821498741079,FALSE,FALSE,FALSE,FALSE,FALSE,scopolamine
WHITE BLOOD CELL COUNT DECREASED,118,7765,91216,17585441,2.92969754687698,0.0928136796275274,2.44240785689699,3.51420738020455,2.90081205778254,0.091425529422599,2.4249155039511,3.47010466173597,147.546223190474,17684540,1.53523494987088,1.53445022562578,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ANAEMIA,116,7767,153866,17522791,1.70084720767944,0.0935734776759826,1.41583925470202,2.04322716315687,1.69053409387875,0.0921969467327814,1.41105619055543,2.02536620560908,32.9818523064028,17684540,0.757035104312051,0.756250380066954,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
NEUTROPHIL COUNT INCREASED,116,7767,8292,17668365,31.8230464820457,0.0941811778407748,26.4589811026923,38.274576162549,31.369478881904,0.092813662745024,26.1518682380151,37.628065282609,3365.10396799938,17684540,4.9518903391582,4.9511056149131,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
VERTIGO,115,7768,49602,17627055,5.26101082069504,0.0940457476282836,4.37538061688436,6.3259033393944,5.19884968351631,0.0926763228736441,4.33530425546666,6.23440396316274,390.182844426379,17684540,2.37549472480147,2.37471000055637,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
TREMOR,114,7769,126674,17549983,2.03296052342077,0.0943853684584307,1.6896101035932,2.4460841474598,2.01802236540098,0.0930210313554576,1.68168586843265,2.42162602641961,58.9152473647367,17684540,1.01228763135807,1.01150290711297,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PAIN IN EXTREMITY,113,7770,243304,17433353,1.04205130022338,0.0947756566668853,0.865395100727976,1.25476896204265,1.04144850979775,0.0934171064457362,0.867200573787891,1.25070834976782,0.188919222068523,17684540,0.058564858021237,0.0577801337761403,FALSE,FALSE,TRUE,FALSE,FALSE,scopolamine
NEUTROPENIA,107,7776,115600,17561057,2.09035642786072,0.0973812234405601,1.72714091854333,2.5299556906937,2.07555646112457,0.0960600493525861,1.71935908268211,2.50554678583825,59.9742335227118,17684540,1.05280666323169,1.05202193898659,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRUG HYPERSENSITIVITY,106,7777,178671,17497986,1.33483554520494,0.0978171793692982,1.10195560666674,1.61693077467271,1.3303331263553,0.0965020585966843,1.10107320707027,1.60732839171277,8.77818766280969,17684540,0.411575135112005,0.410790410866908,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
CHEST PAIN,105,7778,136073,17540584,1.74017710008209,0.0982841965229183,1.43526552152743,2.10986489554034,1.73031808758575,0.0969754953087161,1.43079936766833,2.09253704738878,32.5918982818595,17684540,0.790567691136111,0.789782966891014,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
LOWER RESPIRATORY TRACT INFECTION,105,7778,41073,17635584,5.79635239446011,0.0983706301550808,4.77991319885223,7.02893539757815,5.73246592973623,0.0970630959141006,4.73936008955081,6.93367142708525,410.13459866896,17684540,2.51611567559418,2.51533095134909,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PRURITUS,103,7780,324843,17351814,0.70717841888532,0.0991988337103607,0.582222851327971,0.858951714101359,0.711004452483546,0.0979025252193746,0.586862025906817,0.861407467403071,12.3215041882601,17684540,-0.491883638155494,-0.49266836240059,FALSE,FALSE,FALSE,FALSE,FALSE,scopolamine
BACK PAIN,102,7781,192065,17484592,1.19336151597432,0.0996880309658898,0.981557765699823,1.45086897335399,1.19085956562175,0.0983982535891082,0.981979146486984,1.44417171190061,3.15269489101136,17684540,0.251880555867189,0.251095831622092,FALSE,FALSE,TRUE,FALSE,FALSE,scopolamine
INSOMNIA,99,7784,210563,17466094,1.05498455325557,0.101164643927119,0.865232885287587,1.28635009895391,1.05429402036552,0.099894181229607,0.866822348152919,1.28231105686998,0.280012732280484,17684540,0.0762423447428024,0.0754576204977057,FALSE,FALSE,TRUE,FALSE,FALSE,scopolamine
PRODUCT DOSE OMISSION ISSUE,99,7784,280872,17395785,0.787712889617994,0.101158769172532,0.64604068560383,0.960452817132376,0.790378933500757,0.0998882305966537,0.649843497712617,0.96130662339574,5.59077595534608,17684540,-0.339248788891589,-0.340033513136686,FALSE,FALSE,FALSE,FALSE,FALSE,scopolamine
OVERDOSE,97,7786,185502,17491155,1.17470069823349,0.102191790049222,0.961479035391595,1.43520730004085,1.17255101312267,0.100934420779237,0.96208763447102,1.42905472340982,2.48788315952856,17684540,0.229539728439957,0.22875500419486,FALSE,FALSE,TRUE,FALSE,FALSE,scopolamine
AGITATION,96,7787,52679,17623978,4.12446362865712,0.102781931603247,3.3719236447356,5.04495416160272,4.0864135831984,0.10153195424665,3.34901100723075,4.98618127467917,224.049725500925,17684540,2.02885174559208,2.02806702134698,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DYSPHAGIA,96,7787,76160,17600497,2.8490433312146,0.102753456854179,2.32934354895862,3.4846933191831,2.82652548777979,0.101503128468212,2.31660344991494,3.4486896466299,113.657853241309,17684540,1.49785556252369,1.49707083827859,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
GAIT DISTURBANCE,96,7787,161056,17515601,1.34075428357507,0.102719773847253,1.0962569418503,1.63978167918446,1.33660454220463,0.101469029054182,1.09554633780035,1.63070391511601,8.20776935932134,17684540,0.418356230994941,0.417571506749844,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
WITHDRAWAL SYNDROME,93,7790,35752,17640905,5.89068785724278,0.104446565412261,4.80019962959959,7.22890840153706,5.83298977647104,0.103216988937387,4.76465149893618,7.14087268292598,372.200037896404,17684540,2.54113083735455,2.54034611310945,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
THERAPEUTIC RESPONSE UNEXPECTED,92,7791,40486,17636171,5.14391819536389,0.10498892819429,4.18721897572691,6.31920483595014,5.09555583662058,0.103765857986712,4.15780659164648,6.24480449289877,302.854375001084,17684540,2.34660811490574,2.34582339066064,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ABDOMINAL PAIN UPPER,91,7792,169649,17507008,1.20518321540393,0.10546705356669,0.98011651294178,1.4819325697634,1.20281461555594,0.104249669939411,0.980527065703224,1.4754952208865,3.14048616341366,17684540,0.266283881186726,0.26549915694163,FALSE,FALSE,TRUE,FALSE,FALSE,scopolamine
APPLICATION SITE ERYTHEMA,91,7792,21380,17655277,9.64404622500255,0.105660669455098,7.8400549346728,11.863134680174,9.54426083790687,0.104445544873058,7.77743619926583,11.7124605857393,693.954696967588,17684540,3.24914917315361,3.24836444890851,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HOSPITALISATION,90,7793,143267,17533390,1.41337550175373,0.106049367782359,1.14811797170142,1.73991728915914,1.40865600471481,0.104838825134733,1.14700243882343,1.72999783823874,10.7501736406352,17684540,0.494056568019312,0.493271843774215,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
BALANCE DISORDER,89,7794,70252,17606405,2.86181529367549,0.106670287087543,2.32189201925805,3.52729011822523,2.84079517936151,0.105466950730736,2.31028012238438,3.49313365634408,106.449112421348,17684540,1.50511150428466,1.50432678003956,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
GENERAL PHYSICAL HEALTH DETERIORATION,87,7796,96816,17579841,2.02635358638973,0.107855966623632,1.64023614183506,2.50336445609635,2.01502633001323,0.106666161058186,1.6348753887997,2.48357222725557,44.6878366433473,17684540,1.01014608386198,1.00936135961689,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
NEUTROPHIL COUNT DECREASED,87,7796,34272,17642385,5.74467241199969,0.107943312907294,4.64924106739834,7.09820390958076,5.69230827400096,0.106754481787098,4.61760906912242,7.01713224337935,336.315940260511,17684540,2.50599936605887,2.50521464181377,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
APPLICATION SITE PRURITUS,86,7797,18819,17657838,10.3493220822709,0.108670860178527,8.3639109301674,12.8060268045485,10.247325164971,0.107490152726149,8.30066815919448,12.6505084919378,715.162225669199,17684540,3.3512408238203,3.35045609957521,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
