method,n,shape,shape_lcl,shape_ucl,scale,label,median_tto,ci_width
fitdistr,996,0.457091892820542,0.436392385988416,0.477791399652669,55.7693138904192,overall,13,0.041399013664253
survreg,996,0.457110304530052,0.436870908722451,0.478287352935886,2.18765578043156,overall,13,0.0414164442134348
fitdistr,407,0.447206006791518,0.417176460678349,0.477235552904688,31.942806663305,Transdermal,8,0.0600590922263391
survreg,407,0.447239444144715,0.418193795481837,0.478302458238075,2.23593874174574,Transdermal,8,0.0601086627562376
fitdistr,91,0.690312580012559,0.577873729317377,0.802751430707742,199.596106338324,Oral,154,0.224877701390365
survreg,91,0.68852771306488,0.584984733958594,0.810397920045395,1.452374364931,Oral,154,0.225413186086801
fitdistr,42,0.424454052031502,0.335077810290369,0.513830293772634,22.7314085346829,Parenteral,3,0.178752483482265
survreg,42,0.424601979749622,0.3439748357778,0.524127995583256,2.35514681441118,Parenteral,3,0.180153159805456
