method,n,shape,shape_lcl,shape_ucl,scale,label,median_tto,ci_width
fitdistr,33,0.508466729198722,0.392987229233601,0.623946229163843,33.7542881743076,heat-PT set,8,0.230958999930242
survreg,33,0.508653552000601,0.249020181923519,1.0389858121712,1.96597467188987,heat-PT set,8,0.789965630247682
